[1: 500]FPS: 21.5, Ls/total: 5.794, Ls/bce: 0.497, Ls/iou: 0.898, Ls/mse: 0.154
[2: 500]FPS: 21.8, Ls/total: 5.520, Ls/bce: 0.425, Ls/iou: 0.885, Ls/mse: 0.123
[3: 500]FPS: 21.7, Ls/total: 5.321, Ls/bce: 0.371, Ls/iou: 0.875, Ls/mse: 0.101
[4: 500]FPS: 21.8, Ls/total: 5.134, Ls/bce: 0.323, Ls/iou: 0.865, Ls/mse: 0.083
[5: 500]FPS: 21.8, Ls/total: 4.954, Ls/bce: 0.281, Ls/iou: 0.851, Ls/mse: 0.069
[6: 500]FPS: 21.8, Ls/total: 4.791, Ls/bce: 0.246, Ls/iou: 0.837, Ls/mse: 0.058
[7: 500]FPS: 21.7, Ls/total: 4.645, Ls/bce: 0.215, Ls/iou: 0.823, Ls/mse: 0.050
[8: 500]FPS: 21.7, Ls/total: 4.501, Ls/bce: 0.189, Ls/iou: 0.807, Ls/mse: 0.044
[9: 500]FPS: 21.7, Ls/total: 4.366, Ls/bce: 0.169, Ls/iou: 0.790, Ls/mse: 0.040
[10: 500]FPS: 21.8, Ls/total: 4.237, Ls/bce: 0.152, Ls/iou: 0.772, Ls/mse: 0.036
[11: 500]FPS: 21.5, Ls/total: 4.119, Ls/bce: 0.136, Ls/iou: 0.756, Ls/mse: 0.033
[12: 500]FPS: 21.7, Ls/total: 4.006, Ls/bce: 0.125, Ls/iou: 0.739, Ls/mse: 0.031
[13: 500]FPS: 21.8, Ls/total: 3.881, Ls/bce: 0.117, Ls/iou: 0.718, Ls/mse: 0.029
[14: 500]FPS: 21.5, Ls/total: 3.757, Ls/bce: 0.110, Ls/iou: 0.696, Ls/mse: 0.028
[15: 500]FPS: 21.5, Ls/total: 3.662, Ls/bce: 0.104, Ls/iou: 0.680, Ls/mse: 0.027
[16: 500]FPS: 21.7, Ls/total: 3.520, Ls/bce: 0.099, Ls/iou: 0.654, Ls/mse: 0.026
[17: 500]FPS: 21.8, Ls/total: 3.365, Ls/bce: 0.092, Ls/iou: 0.626, Ls/mse: 0.024
[18: 500]FPS: 21.5, Ls/total: 3.256, Ls/bce: 0.092, Ls/iou: 0.605, Ls/mse: 0.024
[19: 500]FPS: 21.5, Ls/total: 3.145, Ls/bce: 0.089, Ls/iou: 0.584, Ls/mse: 0.024
[20: 500]FPS: 21.8, Ls/total: 3.034, Ls/bce: 0.086, Ls/iou: 0.563, Ls/mse: 0.023
[21: 500]FPS: 21.8, Ls/total: 2.946, Ls/bce: 0.085, Ls/iou: 0.546, Ls/mse: 0.022
[22: 500]FPS: 21.6, Ls/total: 2.844, Ls/bce: 0.085, Ls/iou: 0.526, Ls/mse: 0.023
[23: 500]FPS: 21.7, Ls/total: 2.742, Ls/bce: 0.082, Ls/iou: 0.507, Ls/mse: 0.022
[24: 500]FPS: 21.7, Ls/total: 2.676, Ls/bce: 0.083, Ls/iou: 0.493, Ls/mse: 0.022
